review_text,word_count,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,mentions_cheaters,mentions_servers,mentions_matchmaking,mentions_money,hours_played,sentiment
"I've played this game for almost 500+ hours. I used to play it on Origins from day one of its release before it was released on Steam. I was in love with the concept and how brilliantly it was executed by Respawn. The game was fast paced and combat felt way crisp when compared to other BRs being offered during that time. But I knew there was an evil anti consumer backing this title as well but I kept my hopes high. The closest server was Singapore where I used to get decent ping but I started noticing that no games were available after reaching a certain rank, except UAE all other locations hampered the experience. Multiple pleas from the community that kept being ignored, in the meantime my account was hacked and I received a ban for cheating in the game. I reached out to EA support multiple times for reconsidering the ban but always received a copy paste answer. I am glad that the community finally understood and is now fed up with the experience. I am so amazed that rather than fixing what the community is demanding they are releasing more skins to fill in the hole, this game is an example of the corp greed at its best",212,-0.4898,0.162,0.159,0.679,1,1,0,0,500.0,negative
It breaks my heart since I love this game so so much but I have to give this a thumb down. ,21,0.3818,0.133,0.0,0.867,0,0,0,0,,positive
"Piece of fucking trash game. Buggy, catastrophic matchmaking, gives penalty when game crashes. Install only if you hate yourself and want to suffer at the whims of a most fucking retarded game dev. Allowing cheating, game sabotage, etc etc while still sucking money from people is fucking pathetic. FUCK YOU EA and FUCK YOU Respawn",55,-0.9901,0.016,0.46,0.524,1,0,1,1,,negative
"This is not the apex that I used to love anymore, EA decided to completely turn a blind eye to the server issues and cheater problem and only focus on cosmetics and more loot boxes. playing ranked on asian servers is the gateway to hell",45,-0.8183,0.11,0.242,0.649,1,1,0,0,,negative
I love this game: been masters and diamond multiple times but now I uninstalled. I started playing S24 and 100% of games were all cheater squads. Not the soft aimbotters but the 5-6 hit and its over wonders. ,38,-0.0644,0.154,0.112,0.734,1,0,0,0,,negative
"Was that a player? Was it a game sound? Was it someone breathing in? Was it a bear? Was it the storm? No, it was the schizophrenia i developed from having my game sounds too high. 11/10 would recommend.",39,0.3094,0.089,0.057,0.854,0,0,0,0,,positive
So if been playing this game for some time and while I had fun most of the time (even last season with the completely broken support meta) I dont know what they were thinking this time:,36,0.6058,0.2,0.081,0.719,0,0,0,0,,positive
"After this update, there are way more cheaters than before—there’s no way to report them all.",16,-0.659,0.0,0.278,0.722,1,0,0,0,,negative
"These peasants forced me to change my nickname which previously was listed as ""cumbucket"" under the threat of receiving restrictions on my account and temporarily OR permamently revoking my acces to the game. ",33,-0.7506,0.0,0.171,0.829,0,0,0,0,,negative
"this game is very hard to play well and feel like you have achieved something. If you solo queue, you will spend most of the time in the lobby joining a new game as you are killed over and over again. You need pin point aim as you have to content with player who cheat with aim bot. Plus controller players have an advantage with aim assist too. If you are a K&M player, good luck with that.",78,0.6213,0.178,0.101,0.722,1,0,0,0,,positive
"This game has devolved from being a pretty good, free, FPS battle royale to complete garbage in a matter of months. This game has just...become bad. It's not even just that the MT's fill the game or that the company is greedy (which it is) but its just that its...not fun.",51,0.7184,0.2,0.098,0.702,0,0,0,0,,positive
New update made it terrible. You kill and get killed super quickly and Ash's dash ability is ridiculous,18,-0.8625,0.188,0.448,0.364,0,0,0,0,,negative
"Awful game balance.  Bias towards controllers with aim assist, mouse and keyboard doesnt have any and cant even get a decent aim, the bullets spray all over the area even in target.  Aim assist is way overpowered and actually an official CHEAT by developer, haven't played an fps that awful, wonder if the developer have any sense of game balance at all.   Stages are over large that most advantages to snipers and campers.  Fed up with the crap and deleted game after a few days.  I played quite a lot of fps but this game SUCKS.",96,-0.8969,0.019,0.165,0.817,1,0,0,0,,negative
Why Apex Legends is a Mess – A Honest Review,10,0.2023,0.306,0.231,0.463,0,0,0,0,,positive
Apex was once a great mouse and keyboard FPS game. Overpowered aim assist on controllers was introduced without having separate lobbies.  It's now well over 80% controller players and a dying game.,32,0.7351,0.181,0.0,0.819,0,0,0,0,,positive
Lets talk about how absolute dog water this game is in its current state. ,14,0.0,0.0,0.0,1.0,0,0,0,0,,neutral
"Feedback is given by players but still they won't fix the problems we had for the last 18 seasons, cheaters every game(forced to play on NA servers because cheaters are in every lobby on EU), too many collection events and 0 security updates/anti cheat updates. Now you can get you're account STOLEN if you BOUGHT the HYPER BEAST raptor's claw recolor :P (not even safe to put money in this game).",71,-0.2054,0.192,0.179,0.629,1,1,0,1,,negative
さっき、Apexをアンインストールした。,1,0.0,0.0,0.0,1.0,0,0,0,0,,neutral
"Most fluid shooter I've ever played. You won't find better movements or polish on a game. Though limited in its play styles and relatively repetitive, it's very fun.",28,0.4744,0.235,0.177,0.588,0,0,0,0,,positive
2025: This game is unplayable. The developers change the gun and character meta every two months to the point of absurdity. Half of the time you won't even know what's happening in the game. I wasted my 2500 hours on this game and servers are still horrible. They have microtransactions in Indian currency but no Indian servers in the game!!,60,-0.8143,0.0,0.146,0.854,0,1,0,0,2500.0,negative
One of my favorite games. I was a former console player and put many hours into the game. Came back after a few years here on PC and noticed they added cross progression which made me super happy. ,38,0.891,0.249,0.0,0.751,0,0,0,0,,positive
"Love the game been playing since s2 and have over 1500hrs in it, however, i haven't been able to play it on steam for the past 3 season (s21-24) since it keeps getting stuck on the loading screen infinitely and i haven't been able to find a solution a solution that works yet and I've tried everything so I'm stuck having to play it on the EA browser instead.",69,0.886,0.204,0.053,0.743,0,0,0,0,1500.0,positive
"Played this game on Origin when it first came out.  Movement mechanics are brilliant, guns were always well balanced, and the maps were fantastic, but after season 12 I left because the matchmaking totally sucked.  Thought I'd come back to it to see if things have changed, but sadly it hasn't.",51,-0.4921,0.132,0.135,0.732,0,0,1,0,,negative
6k hours played... since day one and EA has turned this game into a cash grab that has been milked beyond belief and into oblivion.. the game is riddled with cheaters and a main focus on pushing cosmetic content mandates has killed this game,44,-0.8126,0.0,0.156,0.844,1,0,0,1,,negative
"If ""EA bad"" were manifested into a game in and of itself. Maybe most saddening of all is that the game was once great at its core (technically and otherwise), but turned into absolute dogwater because of an incompetent publisher at its helm. I can say with a generous amount of confidence that this is the last time EA wastes my time (their last good Battlefield game is nearly a decade old at this point anyway).",76,0.6432,0.167,0.132,0.701,0,0,0,0,,positive
"It's an OK game, it's changed a LOT over it's lifetime. This game is still fun from time to time and its free to play.",25,0.8986,0.374,0.0,0.626,0,0,0,0,,positive
Regardless of good or bad seasons Apex is by far the best battle royale out on the market. No other game gives the same adrenaline rush from wiping squads and clutching up. Have also met some incredible people through this game over the years. 10/10,45,-0.0516,0.128,0.15,0.722,0,0,0,0,,negative
"In the past I would've probably said yes, great game go for it and have fun",16,0.8779,0.457,0.0,0.543,0,0,0,0,,positive
